Decimal,Mode,Description,Alpha Tag,Hex,Category,Tag,Priority,Preferred NAC
732,D,Zone 3 Bangor RCC Alternate ,Zone 3B,2dc,Zone 3 - Bangor RCC,Law Dispatch,,
733,De,Troop E Talk Around,Troop E,2dd,Zone 3 - Bangor RCC,Law Talk,,
734,DE,Troop J Talk Around,Troop J,2de,Zone 3 - Bangor RCC,Law Talk,,
735,DE,Zone 3 Enc,Zone 3- ENC,2df,Zone 3 - Bangor RCC,Law Talk,,
741,D, Zone 4 Primary Houlton RCC,Zone 4A,200000,Zone 4- Houlton RCC,Law Dispatch,,
742,D,Zone 4 Alternate Houlton RCC,Zone 4B,2000000,Zone 4- Houlton RCC,Law Dispatch,,
743,DE,Troop F Talk Around,Troop F,20000000,Zone 4- Houlton RCC,Law Talk,,
751,D,Troop I,Troop I,2ef,"Troop I(Intestate 95,295,395,495)",Law Dispatch,,
816,D,Kennebec County Sheriff Patch to 159.090,Kennebec SO,330,Kennebec County,Law Dispatch,,
1010,D,MFS-Unknown,MFS-UNK,3f2,Maine Forest Service,Law Talk,,
1011,DE,MFS-Unknown Encrypted,MFS-UNKENC,3f3,Maine Forest Service,Law Talk,,
1012,D,MFS-Unknown,MFS-UNK,3f4,Maine Forest Service,Law Talk,,
1021,D,Maine Forest Service Northern Region Ashland Common,MFSNoRegCom,3fd,Maine Forest Service,Law Talk,,
1022,D,Maine Forest Service Northern Region Ops 1,MFSNoROps1,3fe,Maine Forest Service,Law Talk,,
1023,D,Maine Forest Service Northern Region Ops 2,MFSNoROps2,3ff,Maine Forest Service,Law Talk,,
1031,D,Maine Forest Service Central Region Old Town Common,MFSCenRegCom,407,Maine Forest Service,Law Talk,,
1032,D,Maine Forest Service Central Regions Ops 1,MFSCentOps1,408,Maine Forest Service,Law Talk,,
1033,D,Maine Forest Service Central Regions Ops 2,MFSCentOps2,409,Maine Forest Service,Law Talk,,
1041,D,Maine Forest Service Southern Region Bolton Hill Common,MFSSO.RegCom,411,Maine Forest Service,Law Talk,,
1042,D,Maine Forest Service Southern Region Ops 1,MFSSoROps1,412,Maine Forest Service,Law Talk,,
1043,D,Maine Forest Service Southern Region Ops 2,MFSSoROps2,413,Maine Forest Service,Law Talk,,
1060,D,MFS Tac  ?,MFS Tac ?,424,Maine Forest Service,Law Tac,,
1061,D,MFS Tac 11,MFS Tac 11,425,Maine Forest Service,Law Tac,,
1062,D,MFS Tac 13,MFS Tac 13,426,Maine Forest Service,Law Tac,,
1063,D,MFS Tac 21,MFS Tac 21,427,Maine Forest Service,Law Talk,,
1064,D,MFS Tac 22,MFS TAC 22,428,Maine Forest Service,Law Talk,,
1065,D,MFS Tac 23,MFS Tac 23,429,Maine Forest Service,Law Tac,,
1066,D,MFS Ops 31,MFS Ops 31,42a,Maine Forest Service,Law Tac,,
1067,D,MFS Tac 32,MFS Tac 32,42b,Maine Forest Service,Law Tac,,
1068,D,MFS Tac 33,MFS Tac 33,42c,Maine Forest Service,Law Tac,,
1072,DE,MFS Tac 5,MFS Tac 5,430,Maine Forest Service,Law Tac,,
1075,D,MFS Tac,MFS Tac,433,Maine Forest Service,Law Tac,,
